timestamp,pair,base,quote,rate,pip_value,name
2025-10-21T15:38:34.942225,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:38:36.183928,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:38:37.393521,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:38:38.641855,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:38:39.859863,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:38:41.077940,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:38:42.314646,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:38:43.560004,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:38:44.723994,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:38:45.909762,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:39:47.081165,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:39:48.244261,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:39:49.421736,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:39:50.572205,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:39:51.754144,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:39:52.970452,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:39:54.152156,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:39:55.325539,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:39:56.577196,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:39:57.759064,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:40:59.031692,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:41:00.249448,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:41:01.430469,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:41:02.602704,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:41:03.838078,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:41:05.031136,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:41:06.240766,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:41:07.442118,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:41:08.729536,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:41:09.901872,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:42:11.122624,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:42:12.346246,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:42:13.569056,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:42:14.747610,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:42:16.031113,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:42:17.269926,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:42:18.466465,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:42:19.633992,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:42:20.792086,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:42:21.981944,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:43:23.212318,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:43:24.429326,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:43:25.623467,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:43:26.891671,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:43:28.129089,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:43:29.454721,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:43:30.690240,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:43:31.877279,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:43:33.140132,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:43:34.368373,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:44:35.609812,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:44:36.784471,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:44:37.962529,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:44:39.194178,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:44:40.404354,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:44:41.650515,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:44:42.879596,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:44:44.050822,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:44:45.223082,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:44:46.461690,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:45:47.657851,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:45:48.932851,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:45:50.141921,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:45:51.389638,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:45:52.618785,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:45:53.785833,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:45:54.970534,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:45:56.212011,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:45:57.416784,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:45:58.656115,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T15:46:59.891855,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T15:47:01.225974,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T15:47:02.458464,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T15:47:03.617966,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T15:47:04.805364,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T15:47:06.025225,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T15:47:07.267463,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T15:47:08.491669,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T15:47:09.684484,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T15:47:10.854120,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
